,Date,Open,High,Low,Close,Adj Close,Volume
0,"Apr 09, 2020",166.36,167.37,163.33,165.14,165.14,"51,431,775"
1,"Apr 08, 2020",165.67,166.67,163.50,165.13,165.13,"48,243,700"
2,"Apr 07, 2020",169.59,170.00,163.26,163.49,163.49,"62,769,000"
3,"Apr 06, 2020",160.32,166.50,157.58,165.27,165.27,"67,111,700"
4,"Apr 03, 2020",155.10,157.38,152.19,153.83,153.83,"41,243,300"
5,"Apr 02, 2020",151.86,155.48,150.36,155.26,155.26,"49,630,700"
6,"Apr 01, 2020",153.00,157.75,150.82,152.11,152.11,"57,969,900"
7,"Mar 31, 2020",159.40,164.78,156.56,157.71,157.71,"77,927,200"
8,"Mar 30, 2020",152.44,160.60,150.01,160.23,160.23,"63,420,300"
9,"Mar 27, 2020",151.75,154.89,149.20,149.70,149.70,"57,042,300"
10,"Mar 26, 2020",148.40,156.66,148.37,156.11,156.11,"64,568,100"
11,"Mar 25, 2020",148.91,154.33,144.44,146.92,146.92,"75,638,200"
12,"Mar 24, 2020",143.75,149.60,141.27,148.34,148.34,"82,516,700"
13,"Mar 23, 2020",137.01,140.57,132.52,135.98,135.98,"78,975,200"
14,"Mar 20, 2020",146.00,147.10,135.86,137.35,137.35,"84,866,200"
15,"Mar 19, 2020",142.77,150.15,139.00,142.71,142.71,"85,922,700"
16,"Mar 18, 2020",138.00,146.00,135.02,140.40,140.40,"81,593,200"
17,"Mar 17, 2020",140.00,147.50,135.00,146.57,146.57,"81,059,800"
18,"Mar 16, 2020",140.00,149.35,135.00,135.42,135.42,"87,905,900"
19,"Mar 13, 2020",147.50,161.91,140.73,158.83,158.83,"92,727,400"
20,"Mar 12, 2020",145.30,153.47,138.58,139.06,139.06,"93,226,400"
21,"Mar 11, 2020",157.13,157.70,151.15,153.63,153.63,"56,371,600"
22,"Mar 10, 2020",158.16,161.03,152.58,160.92,160.92,"65,354,400"
23,"Mar 09, 2020",151.00,157.75,150.00,150.62,150.62,"70,419,300"
24,"Mar 06, 2020",162.61,163.11,156.00,161.57,161.57,"72,821,100"
25,"Mar 05, 2020",166.05,170.87,165.69,166.27,166.27,"47,817,300"
26,"Mar 04, 2020",168.49,170.70,165.62,170.55,170.55,"49,814,400"
27,"Mar 03, 2020",173.80,175.00,162.26,164.51,164.51,"71,677,000"
28,"Mar 02, 2020",165.31,172.92,162.31,172.79,172.79,"71,030,800"
29,"Feb 28, 2020",152.41,163.71,152.00,162.01,162.01,"97,073,600"
30,"Feb 27, 2020",163.32,167.03,157.98,158.18,158.18,"93,174,900"
31,"Feb 26, 2020",169.71,173.26,168.21,170.17,170.17,"56,206,100"
32,"Feb 25, 2020",174.20,174.84,167.65,168.07,168.07,"68,073,300"
33,"Feb 24, 2020",167.77,174.55,163.23,170.89,170.89,"68,311,100"
34,"Feb 21, 2020",183.17,183.50,177.25,178.59,178.59,"48,572,600"
35,"Feb 20, 2020",186.95,187.25,181.10,184.42,184.42,"36,862,400"
36,"Feb 19, 2020",188.06,188.18,186.47,187.28,187.28,"29,997,500"
37,"Feb 19, 2020",0.51 Dividend,,,,,
38,"Feb 18, 2020",185.61,187.70,185.50,187.23,186.72,"27,792,200"
39,"Feb 14, 2020",183.25,185.41,182.65,185.35,184.85,"23,149,500"
40,"Feb 13, 2020",183.08,186.23,182.87,183.71,183.21,"35,295,800"
41,"Feb 12, 2020",185.58,185.85,181.85,184.71,184.21,"47,062,900"
42,"Feb 11, 2020",190.65,190.70,183.50,184.44,183.94,"53,159,900"
43,"Feb 10, 2020",183.58,188.84,183.25,188.70,188.19,"35,844,300"
44,"Feb 07, 2020",182.85,185.63,182.48,183.89,183.39,"33,529,100"
45,"Feb 06, 2020",180.97,183.82,180.06,183.63,183.13,"27,751,400"
46,"Feb 05, 2020",184.03,184.20,178.41,179.90,179.41,"39,186,300"
47,"Feb 04, 2020",177.14,180.64,176.31,180.12,179.63,"36,433,300"
48,"Feb 03, 2020",170.43,174.50,170.40,174.38,173.90,"30,149,100"
49,"Jan 31, 2020",172.21,172.40,169.58,170.23,169.77,"36,142,700"
50,"Jan 30, 2020",174.05,174.05,170.79,172.78,172.31,"51,597,500"
51,"Jan 29, 2020",167.84,168.75,165.69,168.04,167.58,"34,754,500"
